   2.0000000e+00   9.4964568e-08   0.0000000e+00
   4.0000000e+00  -3.3484057e-07   0.0000000e+00
   6.0000000e+00   1.0655387e-07   0.0000000e+00
   8.0000000e+00   5.5461742e-07   0.0000000e+00
   1.0000000e+01   7.7461440e-08   0.0000000e+00
   1.2000000e+01   7.2098483e-08   0.0000000e+00
   1.4000000e+01   7.6884014e-08   0.0000000e+00
   1.6000000e+01   8.2664103e-08   0.0000000e+00
   1.8000000e+01   8.5706911e-08   0.0000000e+00
   2.0000000e+01   9.0150102e-08   0.0000000e+00
   2.2000000e+01   9.1509933e-08   0.0000000e+00
   2.4000000e+01   9.4971647e-08   0.0000000e+00
   2.6000000e+01   9.9948879e-08   0.0000000e+00
   2.8000000e+01   1.0466032e-07   0.0000000e+00
   3.0000000e+01   1.1240474e-07   0.0000000e+00
   3.2000000e+01   1.2423768e-07   0.0000000e+00
   3.4000000e+01   1.4940934e-07   0.0000000e+00
   3.6000000e+01   4.2591902e-07   0.0000000e+00
   3.8000000e+01   7.6805809e-08   0.0000000e+00
   4.0000000e+01   1.3701183e-07   0.0000000e+00
   4.2000000e+01   3.0447155e-08   0.0000000e+00
   4.4000000e+01   1.5650121e-07   0.0000000e+00
   4.6000000e+01  -9.8616514e-07   0.0000000e+00
   4.8000000e+01   1.1464059e-07   0.0000000e+00
   5.0000000e+01   2.0842306e-07   0.0000000e+00
   5.2000000e+01  -2.6130888e-06   0.0000000e+00
   5.4000000e+01   2.2382599e-07   0.0000000e+00
   5.6000000e+01   3.7180118e-07   0.0000000e+00
   5.8000000e+01   3.6811213e-06   0.0000000e+00
   6.0000000e+01  -5.1638978e-07   0.0000000e+00
   6.2000000e+01  -2.3107730e-07   0.0000000e+00
   6.4000000e+01  -1.4139385e-07   0.0000000e+00
   6.6000000e+01  -9.6662165e-08   0.0000000e+00
   6.8000000e+01  -6.9495529e-08   0.0000000e+00
   7.0000000e+01  -5.1182814e-08   0.0000000e+00
   7.2000000e+01  -3.7633436e-08   0.0000000e+00
   7.4000000e+01  -2.7222593e-08   0.0000000e+00
   7.6000000e+01  -1.8825043e-08   0.0000000e+00
   7.8000000e+01  -1.1776995e-08   0.0000000e+00
   8.0000000e+01  -5.6226489e-09   0.0000000e+00
   8.2000000e+01   1.7692046e-12   0.0000000e+00
   8.4000000e+01   5.4740501e-09   0.0000000e+00
   8.6000000e+01   1.1418083e-08   0.0000000e+00
   8.8000000e+01   2.0048873e-08   0.0000000e+00
   9.0000000e+01  -2.8344634e-08   0.0000000e+00
   9.2000000e+01   1.0377680e-08   0.0000000e+00
   9.4000000e+01   2.4197468e-08   0.0000000e+00
   9.6000000e+01   3.7862245e-08   0.0000000e+00
   9.8000000e+01   6.6371255e-08   0.0000000e+00
   1.0000000e+02   3.1263114e-07   0.0000000e+00
   1.0200000e+02  -7.9791269e-08   0.0000000e+00
   1.0400000e+02  -2.4913101e-08   0.0000000e+00
   1.0600000e+02  -7.7023600e-09   0.0000000e+00
   1.0800000e+02  -8.1050238e-09   0.0000000e+00
   1.1000000e+02   3.8171424e-09   0.0000000e+00
   1.1200000e+02   8.6048293e-09   0.0000000e+00
   1.1400000e+02   1.2346056e-08   0.0000000e+00
   1.1600000e+02   1.5600267e-08   0.0000000e+00
   1.1800000e+02   1.8621600e-08   0.0000000e+00
   1.2000000e+02   2.1576270e-08   0.0000000e+00
   1.2200000e+02   2.4604621e-08   0.0000000e+00
   1.2400000e+02   2.7857040e-08   0.0000000e+00
   1.2600000e+02   3.1535202e-08   0.0000000e+00
   1.2800000e+02   3.5977863e-08   0.0000000e+00
   1.3000000e+02   4.1956029e-08   0.0000000e+00
   1.3200000e+02   5.2949210e-08   0.0000000e+00
   1.3400000e+02   3.2359072e-08   0.0000000e+00
   1.3600000e+02   6.8452140e-08   0.0000000e+00
   1.3800000e+02  -5.0969519e-08   0.0000000e+00
   1.4000000e+02   8.0863675e-08   0.0000000e+00
   1.4200000e+02   2.1169054e-07   0.0000000e+00
   1.4400000e+02  -1.2631108e-07   0.0000000e+00
   1.4600000e+02   1.1353948e-07   0.0000000e+00
   1.4800000e+02  -1.3245337e-07   0.0000000e+00
   1.5000000e+02  -3.9173884e-08   0.0000000e+00
   1.5200000e+02  -7.6104962e-10   0.0000000e+00
   1.5400000e+02   2.1854176e-07   0.0000000e+00
   1.5600000e+02  -5.4098968e-08   0.0000000e+00
   1.5800000e+02  -2.4521897e-08   0.0000000e+00
   1.6000000e+02  -8.1832501e-09   0.0000000e+00
   1.6200000e+02  -1.4693657e-08   0.0000000e+00
   1.6400000e+02  -3.7951368e-09   0.0000000e+00
   1.6600000e+02   6.7474357e-09   0.0000000e+00
   1.6800000e+02  -2.1042235e-08   0.0000000e+00
   1.7000000e+02   1.1441738e-08   0.0000000e+00
   1.7200000e+02  -6.4158168e-08   0.0000000e+00
   1.7400000e+02  -1.0778128e-08   0.0000000e+00
   1.7600000e+02  -3.5563747e-09   0.0000000e+00
   1.7800000e+02   2.1604008e-10   0.0000000e+00
   1.8000000e+02   2.9403941e-09   0.0000000e+00
   1.8200000e+02   5.2694713e-09   0.0000000e+00
   1.8400000e+02   7.5861202e-09   0.0000000e+00
   1.8600000e+02   2.5583886e-09   0.0000000e+00
   1.8800000e+02   1.3219320e-08   0.0000000e+00
   1.9000000e+02   2.1709238e-08   0.0000000e+00
