        1.    0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
        2.   -0.5787580E-06   0.3236185E-04  -0.3657594E-03   0.1491992E-05   0.4150456E-03  -0.1822792E-02   0.1258897E-05  -0.2293408E-03  -0.2752555E-02   0.9827023E-05  -0.2444264E-02  -0.1180788E-01   0.2702966E-05  -0.4152584E-03  -0.4674049E-02   0.9954785E-05   0.4387170E-02  -0.6069903E-02   0.5935017E-05   0.4540854E-03  -0.1008410E-02   0.2486895E-04   0.1464341E-02  -0.2703873E-02  -0.2368636E-05  -0.3025233E-03  -0.3524967E-03   0.2244182E-04  -0.3082638E-02   0.7051986E-03   0.3361166E-05   0.4713712E-03   0.6937768E-03  -0.1234676E-05  -0.1880327E-02  -0.3082625E-03  -0.6710546E-05   0.1354421E-02  -0.1428186E-02  -0.7089607E-05  -0.2175982E-02  -0.2255637E-02   0.8307184E-04   0.3348663E-02   0.2917803E-01  -0.2405500E-04  -0.9598516E-03  -0.8474877E-02  -0.5416985E-04   0.5161936E-03  -0.2445740E-01  -0.6282870E-04  -0.8580924E-02  -0.3848062E-01   0.3109494E-04  -0.1835952E-01   0.5248332E-01   0.2033209E-06   0.4353675E-02  -0.2447311E-01  -0.1954097E-03   0.4411016E-02   0.1416468E+00  -0.3792504E-04  -0.5046817E-01   0.1754404E-02  -0.8358610E-04  -0.3976985E-01   0.2016138E-02  -0.2996866E-04   0.1671309E+00   0.1001235E-02   0.1309921E-03  -0.4278502E-02   0.1279165E-01  -0.1338754E-03   0.2247209E-01  -0.1280391E-01  -0.5022594E-03  -0.2855638E-01  -0.5447218E-01   0.7009968E-04  -0.1656979E+00   0.7648832E-02   0.1802897E-03  -0.1228583E-02   0.1830866E-01   0.3115777E-03  -0.2571674E-01   0.3112505E-01  -0.7672360E-03  -0.1724208E-01  -0.7339964E-01   0.6789817E-03  -0.2434354E-01   0.6363050E-01  -0.5389192E-03  -0.6693748E-01  -0.4723052E-01   0.1701925E-03  -0.1910687E+00   0.1495937E-01  -0.2622957E-03  -0.2057180E+00  -0.2050606E-01  -0.3981186E-03   0.1199320E+00  -0.3015932E-01   0.4766544E-04   0.8758918E-01   0.3761862E-02  -0.4982762E-03   0.4534551E-01  -0.3013446E-01   0.1914954E-03   0.8109205E-01   0.1197832E-01   0.3858625E-03   0.1016213E-01   0.1970790E-01
        3.   -0.1446895E-07   0.9018071E-07  -0.6279257E-06   0.3729982E-07   0.3161720E-06  -0.1570878E-05   0.3147247E-07  -0.2458976E-06  -0.2085060E-05   0.2456762E-06  -0.3109178E-05  -0.8210102E-05   0.6757437E-07  -0.2992488E-06  -0.3860555E-05   0.2488707E-06   0.5266725E-05  -0.2540626E-05   0.1483764E-06   0.2074630E-06   0.3892562E-06   0.6217283E-06   0.3588347E-06   0.3084545E-05  -0.5921649E-07   0.2509239E-07  -0.8797102E-06   0.5610547E-06  -0.1463867E-06   0.1037522E-04   0.8403078E-07   0.3534293E-07   0.1677415E-05  -0.3086762E-07  -0.8424407E-06  -0.9229610E-06  -0.1677683E-06   0.4648046E-06  -0.4068792E-05  -0.1772486E-06   0.9592652E-06  -0.4932169E-05   0.2076904E-05  -0.5122203E-05   0.6317340E-04  -0.6014071E-06   0.8702924E-06  -0.1864337E-04  -0.1354338E-05  -0.3055337E-05  -0.4997593E-04  -0.1570848E-05  -0.2940860E-04  -0.7353424E-04   0.7774561E-06  -0.3500232E-04   0.9088557E-04   0.5083617E-08   0.7607105E-05  -0.3960390E-04  -0.4885895E-05   0.6706780E-05   0.1920785E-03  -0.9483049E-06  -0.6657659E-04  -0.3805507E-05  -0.2090051E-05  -0.5216843E-04  -0.1175527E-04  -0.7493634E-06   0.2186001E-03  -0.3476611E-05   0.3275842E-05  -0.5478397E-05   0.4248577E-04  -0.3347969E-05   0.2857666E-04  -0.4274722E-04  -0.1256147E-04  -0.3708478E-04  -0.1687816E-03   0.1753291E-05  -0.2196788E-03   0.2336631E-04   0.4510400E-05  -0.1763469E-05   0.5625151E-04   0.7795257E-05  -0.3834892E-04   0.9606343E-04  -0.1919634E-04  -0.2641864E-04  -0.2296979E-03   0.1698895E-04  -0.3776128E-04   0.2004804E-03  -0.1348560E-04  -0.1072389E-03  -0.1523039E-03   0.4259152E-05  -0.3148939E-03   0.4822203E-04  -0.6564632E-05  -0.3481306E-03  -0.6897317E-04  -0.9964491E-05   0.2064572E-03  -0.1026901E-03   0.1193257E-05   0.1592352E-03   0.1267152E-04  -0.1247496E-04   0.8451816E-04  -0.1123937E-03   0.4794704E-05   0.1533056E-03   0.4413608E-04   0.9663083E-05   0.1981068E-04   0.7916428E-04
        4.   -0.2893791E-07   0.2662222E-06  -0.1972258E-05   0.7459963E-07   0.1187998E-05  -0.5700416E-05   0.6294495E-07  -0.8450404E-06  -0.7847514E-05   0.4913524E-06  -0.1030021E-04  -0.3171871E-04   0.1351487E-06  -0.1143339E-05  -0.1417325E-04   0.4977414E-06   0.1765609E-04  -0.1185507E-04   0.2967528E-06   0.9329594E-06   0.1798081E-06   0.1243457E-05   0.2186875E-05   0.5888465E-05  -0.1184330E-06  -0.1889330E-06  -0.2628020E-05   0.1122109E-05  -0.2990198E-05   0.2807996E-04   0.1680616E-06   0.4915572E-06   0.5029250E-05  -0.6173524E-07  -0.3818991E-05  -0.2705190E-05  -0.3355366E-06   0.2374624E-05  -0.1198396E-04  -0.3544972E-06   0.7044163E-06  -0.1496901E-04   0.4153807E-05  -0.1074209E-04   0.1919703E-03  -0.1202814E-05   0.1495221E-05  -0.5653825E-04  -0.2708676E-05  -0.7657641E-05  -0.1530219E-03  -0.3141695E-05  -0.8514016E-04  -0.2272538E-03   0.1554912E-05  -0.1082041E-03   0.2850181E-03   0.1016723E-07   0.2382241E-04  -0.1255482E-03  -0.9771787E-05   0.2148532E-04   0.6282498E-03  -0.1896609E-05  -0.2188894E-03  -0.8599428E-05  -0.4180100E-05  -0.1717064E-03  -0.2943371E-04  -0.1498726E-05   0.7198971E-03  -0.8363456E-05   0.6551679E-05  -0.1811258E-04   0.1232854E-03  -0.6695933E-05   0.9460845E-04  -0.1239868E-03  -0.2512293E-04  -0.1222457E-03  -0.4927860E-03   0.3506580E-05  -0.7211385E-03   0.6830576E-04   0.9020788E-05  -0.5700495E-05   0.1642823E-03   0.1559049E-04  -0.1231121E-03   0.2804127E-03  -0.3839263E-04  -0.8440341E-04  -0.6695713E-03   0.3397785E-04  -0.1203775E-03   0.5839964E-03  -0.2697116E-04  -0.3399571E-03  -0.4426634E-03   0.8518289E-05  -0.9934741E-03   0.1401403E-03  -0.1312924E-04  -0.1093523E-02  -0.1996716E-03  -0.1992894E-04   0.6467056E-03  -0.2969425E-03   0.2386507E-05   0.4944773E-03   0.3666324E-04  -0.2494984E-04   0.2614542E-03  -0.3224440E-03   0.9589381E-05   0.4732046E-03   0.1267263E-03   0.1932610E-04   0.6086320E-04   0.2257514E-03
        5.   -0.4340686E-07   0.5242564E-06  -0.4010917E-05   0.1118994E-06   0.2612340E-05  -0.1236475E-04   0.9441742E-07  -0.1791757E-05  -0.1726719E-04   0.7370286E-06  -0.2148565E-04  -0.7047991E-04   0.2027231E-06  -0.2530073E-05  -0.3088615E-04   0.7466121E-06   0.3702849E-04  -0.2801263E-04   0.4451291E-06   0.2180709E-05  -0.6847167E-06   0.1865185E-05   0.5514884E-05   0.8147759E-05  -0.1776495E-06  -0.6539178E-06  -0.5208467E-05   0.1683164E-05  -0.8629861E-05   0.5256486E-04   0.2520923E-06   0.1382977E-05   0.9986721E-05  -0.9260285E-07  -0.8948036E-05  -0.5306300E-05  -0.5033048E-06   0.5750554E-05  -0.2356984E-04  -0.5317457E-06  -0.8927720E-06  -0.2991570E-04   0.6230709E-05  -0.1646070E-04   0.3839052E-03  -0.1804221E-05   0.1793498E-05  -0.1129464E-03  -0.4063013E-05  -0.1362010E-04  -0.3072189E-03  -0.4712541E-05  -0.1658645E-03  -0.4584207E-03   0.2332367E-05  -0.2183033E-03   0.5791830E-03   0.1525084E-07   0.4837547E-04  -0.2564874E-03  -0.1465767E-04   0.4411691E-04   0.1302779E-02  -0.2844912E-05  -0.4549970E-03  -0.1411067E-04  -0.6270147E-05  -0.3571004E-03  -0.5231537E-04  -0.2248088E-05   0.1497565E-02  -0.1443363E-04   0.9827509E-05  -0.3774688E-04   0.2404885E-03  -0.1004389E-04   0.1972886E-03  -0.2417944E-03  -0.3768434E-04  -0.2544139E-03  -0.9645469E-03   0.5259862E-05  -0.1497924E-02   0.1337881E-03   0.1353115E-04  -0.1175562E-04   0.3216054E-03   0.2338568E-04  -0.2530485E-03   0.5487944E-03  -0.5758879E-04  -0.1730826E-03  -0.1309412E-02   0.5096663E-04  -0.2465919E-03   0.1141621E-02  -0.4045662E-04  -0.6945073E-03  -0.8642554E-03   0.1277739E-04  -0.2024834E-02   0.2735938E-03  -0.1969379E-04  -0.2223920E-02  -0.3889724E-03  -0.2989330E-04   0.1313402E-02  -0.5780935E-03   0.3579746E-05   0.9998855E-03   0.7140048E-04  -0.3742460E-04   0.5276667E-03  -0.6249409E-03   0.1438400E-04   0.9539557E-03   0.2457290E-03   0.2898900E-04   0.1224038E-03   0.4360352E-03
        6.   -0.5787582E-07   0.8604151E-06  -0.6721821E-05   0.1491993E-06   0.4586058E-05  -0.2154000E-04   0.1258899E-06  -0.3080377E-05  -0.3032393E-04   0.9827048E-06  -0.3657805E-04  -0.1244478E-03   0.2702975E-06  -0.4457256E-05  -0.5394731E-04   0.9954827E-06   0.6324431E-04  -0.5108256E-04   0.5935055E-06   0.3954933E-05  -0.2260691E-05   0.2486913E-05   0.1037362E-04   0.9598424E-05  -0.2368660E-06  -0.1381704E-05  -0.8584587E-05   0.2244218E-05  -0.1716380E-04   0.8328057E-04   0.3361231E-06   0.2723934E-05   0.1648104E-04  -0.1234705E-06  -0.1624796E-04  -0.8685903E-05  -0.6710730E-06   0.1061369E-04  -0.3865079E-04  -0.7089941E-06  -0.3960523E-05  -0.4957739E-04   0.8307611E-05  -0.2187908E-04   0.6364922E-03  -0.2405627E-05   0.1683832E-05  -0.1871295E-03  -0.5417349E-05  -0.2075591E-04  -0.5106476E-03  -0.6283386E-05  -0.2702515E-03  -0.7642968E-03   0.3109821E-05  -0.3639978E-03   0.9701655E-03   0.2033445E-07   0.8099583E-04  -0.4310757E-03  -0.1954355E-04   0.7438286E-04   0.2209933E-02  -0.3793213E-05  -0.7729576E-03  -0.2006814E-04  -0.8360189E-05  -0.6068365E-03  -0.7968027E-04  -0.2997448E-05   0.2545276E-02  -0.2146022E-04   0.1310333E-04  -0.6422558E-04   0.3921847E-03  -0.1339183E-04   0.3358103E-03  -0.3942454E-03  -0.5024571E-04  -0.4325204E-03  -0.1576597E-02   0.7013135E-05  -0.2543579E-02   0.2187829E-03   0.1804148E-04  -0.1987337E-04   0.5257329E-03   0.3118081E-04  -0.4269167E-03   0.8969543E-03  -0.7678479E-04  -0.2915842E-03  -0.2139008E-02   0.6795526E-04  -0.4151470E-03   0.1864425E-02  -0.5394194E-04  -0.1167240E-02  -0.1410255E-02   0.1703645E-04  -0.3398060E-02   0.4464208E-03  -0.2625826E-04  -0.3727059E-02  -0.6337516E-03  -0.3985753E-04   0.2199200E-02  -0.9414781E-03   0.4772967E-05   0.1669615E-02   0.1163083E-03  -0.4989915E-04   0.8800116E-03  -0.1014672E-02   0.1917854E-04   0.1589813E-02   0.3991014E-03   0.3865171E-04   0.2036779E-03   0.7062878E-03
        7.   -0.7234477E-07   0.1270830E-05  -0.1008289E-04   0.1864991E-06   0.7106012E-05  -0.3320232E-04   0.1573624E-06  -0.4705228E-05  -0.4699755E-04   0.1228381E-05  -0.5548994E-04  -0.1935764E-03   0.3378718E-06  -0.6922691E-05  -0.8330479E-04   0.1244353E-05   0.9616393E-04  -0.8113416E-04   0.7418818E-06   0.6259851E-05  -0.4604486E-05   0.3108641E-05   0.1679385E-04   0.9976462E-05  -0.2960824E-06  -0.2384133E-05  -0.1271992E-04   0.2805273E-05  -0.2869044E-04   0.1196777E-03   0.4201538E-06   0.4528764E-05   0.2444343E-04  -0.1543381E-06  -0.2573715E-04  -0.1280361E-04  -0.8388411E-06   0.1698512E-04  -0.5705114E-04  -0.8862424E-06  -0.8627060E-05  -0.7375925E-04   0.1038451E-04  -0.2659827E-04   0.9472455E-03  -0.3007033E-05   0.1084935E-05  -0.2783493E-03  -0.6771684E-05  -0.2887826E-04  -0.7613889E-03  -0.7854229E-05  -0.3969709E-03  -0.1142144E-02   0.3887274E-05  -0.5439855E-03   0.1454751E-02   0.2541804E-07   0.1214130E-03  -0.6479676E-03  -0.2442942E-04   0.1120644E-03   0.3343974E-02  -0.4741511E-05  -0.1170829E-02  -0.2620074E-04  -0.1045022E-04  -0.9194005E-03  -0.1108084E-03  -0.3746806E-05   0.3856703E-02  -0.2921633E-04   0.1637913E-04  -0.9739294E-04   0.5764632E-03  -0.1673976E-04   0.5093662E-03  -0.5794148E-03  -0.6280699E-04  -0.6554956E-03  -0.2321468E-02   0.8766396E-05  -0.3851643E-02   0.3222596E-03   0.2255176E-04  -0.2999823E-04   0.7741767E-03   0.3897585E-04  -0.6434747E-03   0.1320637E-02  -0.9598055E-04  -0.4390357E-03  -0.3148147E-02   0.8494367E-04  -0.6247848E-03   0.2743477E-02  -0.6742707E-04  -0.1754503E-02  -0.2073836E-02   0.2129544E-04  -0.5102235E-02   0.6564590E-03  -0.3282262E-04  -0.5590669E-02  -0.9308845E-03  -0.4982159E-04   0.3296748E-02  -0.1382430E-02   0.5966164E-05   0.2497817E-02   0.1708118E-03  -0.6237343E-04   0.1315344E-02  -0.1486424E-02   0.2397297E-04   0.2375027E-02   0.5848001E-03   0.4831417E-04   0.3039309E-03   0.1032780E-02
        8.   -0.8681372E-07   0.1751634E-05  -0.1407204E-04   0.2237989E-06   0.1016907E-04  -0.4732782E-04   0.1888348E-06  -0.6660640E-05  -0.6726789E-04   0.1474057E-05  -0.7813388E-04  -0.2778199E-03   0.4054462E-06  -0.9924182E-05  -0.1189066E-03   0.1493224E-05   0.1356477E-03  -0.1182367E-03   0.8902581E-06   0.9099684E-05  -0.7772474E-05   0.3730369E-05   0.2480633E-04   0.9017871E-05  -0.3552989E-06  -0.3673046E-05  -0.1757799E-04   0.3366327E-05  -0.4330821E-04   0.1612070E-03   0.5041845E-06   0.6811799E-05   0.3380510E-04  -0.1852056E-06  -0.3743400E-04  -0.1761904E-04  -0.1006609E-05   0.2488595E-04  -0.7859525E-04  -0.1063491E-05  -0.1502060E-04  -0.1022664E-03   0.1246141E-04  -0.3021931E-04   0.1313679E-02  -0.3608438E-05  -0.8447916E-07  -0.3858675E-03  -0.8126017E-05  -0.3780034E-04  -0.1057523E-02  -0.9425069E-05  -0.5446925E-03  -0.1589224E-02   0.4664726E-05  -0.7569642E-03   0.2029724E-02   0.3050162E-07   0.1693566E-03  -0.9058173E-03  -0.2931528E-04   0.1569429E-03   0.4699167E-02  -0.5689806E-05  -0.1646670E-02  -0.3223740E-04  -0.1254025E-04  -0.1293279E-02  -0.1449799E-03  -0.4496161E-05   0.5425517E-02  -0.3747505E-04   0.1965491E-04  -0.1370932E-03   0.7914133E-03  -0.2008767E-04   0.7171492E-03  -0.7953781E-03  -0.7536818E-04  -0.9222702E-03  -0.3191693E-02   0.1051964E-04  -0.5415658E-02   0.4431877E-03   0.2706199E-04  -0.4207470E-04   0.1064449E-02   0.4677078E-04  -0.9014802E-03   0.1815588E-02  -0.1151760E-03  -0.6145645E-03  -0.4326615E-02   0.1019318E-03  -0.8742473E-03   0.3769845E-02  -0.8091196E-04  -0.2452647E-02  -0.2848171E-02   0.2555434E-04  -0.7126438E-02   0.9015462E-03  -0.3938684E-04  -0.7802481E-02  -0.1277246E-02  -0.5978543E-04   0.4598695E-02  -0.1896283E-02   0.7159330E-05   0.3478643E-02   0.2343356E-03  -0.7484737E-04   0.1830516E-02  -0.2034982E-02   0.2876726E-04   0.3303848E-02   0.8007818E-03   0.5797632E-04   0.4224076E-03   0.1411782E-02
        9.   -0.1012827E-06   0.2298957E-05  -0.1866720E-04   0.2610987E-06   0.1377208E-04  -0.6389265E-04   0.2203073E-06  -0.8940940E-05  -0.9111478E-04   0.1719733E-05  -0.1044224E-03  -0.3771323E-03   0.4730206E-06  -0.1345953E-04  -0.1607009E-03   0.1742095E-05   0.1815561E-03  -0.1624594E-03   0.1038634E-05   0.1247865E-04  -0.1182103E-04   0.4352097E-05   0.3444182E-04   0.6458651E-05  -0.4145153E-06  -0.5260285E-05  -0.2312234E-04   0.3927381E-05  -0.6111552E-04   0.2073190E-03   0.5882151E-06   0.9587371E-05   0.4449727E-04  -0.2160732E-06  -0.5135687E-04  -0.2309180E-04  -0.1174377E-05   0.3433726E-04  -0.1031074E-03  -0.1240738E-05  -0.2326937E-04  -0.1349041E-03   0.1453830E-04  -0.3234326E-04   0.1733308E-02  -0.4209843E-05  -0.1905699E-05  -0.5089457E-03  -0.9480348E-05  -0.4733535E-04  -0.1397132E-02  -0.1099591E-04  -0.7120860E-03  -0.2102800E-02   0.5442175E-05  -0.1001632E-02   0.2691869E-02   0.3558519E-07   0.2245560E-03  -0.1203279E-02  -0.3420112E-04   0.2087995E-03   0.6269778E-02  -0.6638097E-05  -0.2198537E-02  -0.3790702E-04  -0.1463027E-04  -0.1726956E-02  -0.1814748E-03  -0.5245513E-05   0.7245389E-02  -0.4600949E-04   0.2293067E-04  -0.1831706E-03   0.1035124E-02  -0.2343555E-04   0.9583521E-03  -0.1040210E-02  -0.8792926E-04  -0.1231775E-02  -0.4179803E-02   0.1227287E-04  -0.7229164E-02   0.5805367E-03   0.3157214E-04  -0.5604727E-04   0.1394061E-02   0.5456557E-04  -0.1199691E-02   0.2377552E-02  -0.1343711E-03  -0.8172981E-03  -0.5664200E-02   0.1189196E-03  -0.1162276E-02   0.4934600E-02  -0.9439657E-04  -0.3258018E-02  -0.3726434E-02   0.2981315E-04  -0.9459751E-02   0.1179520E-02  -0.4595090E-04  -0.1035022E-01  -0.1669712E-02  -0.6974901E-04   0.6097688E-02  -0.2478370E-02   0.8352459E-05   0.4606244E-02   0.3063049E-03  -0.8732090E-04   0.2422384E-02  -0.2655134E-02   0.3356139E-04   0.4370527E-02   0.1045004E-02   0.6763810E-04   0.5583531E-03   0.1839567E-02
       10.   -0.1157516E-06   0.2908933E-05  -0.2384628E-04   0.2983985E-06   0.1791191E-04  -0.8287294E-04   0.2517798E-06  -0.1154046E-04  -0.1185181E-03   0.1965410E-05  -0.1342681E-03  -0.4914677E-03   0.5405949E-06  -0.1752654E-04  -0.2086357E-03   0.1990965E-05   0.2337495E-03  -0.2138717E-03   0.1187011E-05   0.1640097E-04  -0.1680652E-04   0.4973825E-05   0.4573108E-04   0.2034803E-05  -0.4737318E-06  -0.7157691E-05  -0.2931652E-04   0.4488435E-05  -0.8221081E-04   0.2574644E-03   0.6722458E-06   0.1286982E-04   0.5645115E-04  -0.2469407E-06  -0.6752416E-04  -0.2918151E-04  -0.1342145E-05   0.4536015E-04  -0.1304121E-03  -0.1417986E-05  -0.3350158E-04  -0.1714774E-03   0.1661520E-04  -0.3257117E-04   0.2203646E-02  -0.4811247E-05  -0.4460009E-05  -0.6468458E-03  -0.1083468E-04  -0.5729647E-04  -0.1778296E-02  -0.1256674E-04  -0.8978214E-03  -0.2680132E-02   0.6219623E-05  -0.1276686E-02   0.3437973E-02   0.4066875E-07   0.2867409E-03  -0.1539007E-02  -0.3908695E-04   0.2674156E-03   0.8050070E-02  -0.7586383E-05  -0.2824489E-02  -0.4293854E-04  -0.1672028E-04  -0.2218920E-02  -0.2195731E-03  -0.5994861E-05   0.9309993E-02  -0.5459275E-04   0.2620640E-04  -0.2354695E-03   0.1305686E-02  -0.2678341E-04   0.1232168E-02  -0.1311987E-02  -0.1004902E-03  -0.1582940E-02  -0.5278332E-02   0.1402608E-04  -0.9285702E-02   0.7332763E-03   0.3608221E-04  -0.7186044E-04   0.1760526E-02   0.6236022E-04  -0.1536866E-02   0.3002275E-02  -0.1535659E-03  -0.1046364E-02  -0.7150692E-02   0.1359071E-03  -0.1487614E-02   0.6228813E-02  -0.1078808E-03  -0.4166967E-02  -0.4701801E-02   0.3407185E-04  -0.1209126E-01   0.1488220E-02  -0.5251477E-04  -0.1322163E-01  -0.2105160E-02  -0.7971229E-04   0.7786379E-02  -0.3124028E-02   0.9545545E-05   0.5874775E-02   0.3861448E-03  -0.9979396E-04   0.3087803E-02  -0.3341668E-02   0.3835532E-04   0.5569317E-02   0.1315423E-02   0.7729945E-04   0.7110131E-03   0.2312406E-02
