1.039474579717636871337891e+10,5.886165983276621818542480e+09,5.886165983276633262634277e+09,3.604525800088845193386078e+07,-4.143630916924330592155457e+07,-2.221824885331191122531891e+07,-1.039474579717636871337891e+10,-5.886165983276621818542480e+09,-5.886165983276633262634277e+09,-3.604525800088838487863541e+07,6.746660686142253875732422e+07,-3.812048838867416139692068e+06
5.886165983276621818542480e+09,1.039474579717636871337891e+10,5.886165983276633262634277e+09,4.143630916924330592155457e+07,-3.604525800088845193386078e+07,2.221824885331191867589951e+07,-5.886165983276621818542480e+09,-1.039474579717636871337891e+10,-5.886165983276633262634277e+09,-6.746660686142255365848541e+07,3.604525800088837742805481e+07,3.812048838867406826466322e+06
5.886165983276633262634277e+09,5.886165983276633262634277e+09,1.039474579717635917663574e+10,5.826350685420025885105133e+07,-5.826350685420026630163193e+07,0.000000000000000000000000e+00,-5.886165983276633262634277e+09,-5.886165983276633262634277e+09,-1.039474579717635917663574e+10,-3.223320916202106699347496e+07,3.223320916202108561992645e+07,0.000000000000000000000000e+00
3.604525800088845193386078e+07,4.143630916924330592155457e+07,5.826350685420025885105133e+07,5.012217093047583475708961e+06,-7.198516154053565114736557e+05,-3.630619593605049303732812e+05,-3.604525800088845193386078e+07,-4.143630916924330592155457e+07,-5.826350685420025140047073e+07,-4.915065221916413865983486e+06,5.915744958415398141369224e+05,3.941872077931521343998611e+05
-4.143630916924330592155457e+07,-3.604525800088845193386078e+07,-5.826350685420026630163193e+07,-7.198516154053565114736557e+05,5.012217093047583475708961e+06,-3.630619593605046975426376e+05,4.143630916924329847097397e+07,3.604525800088844448328018e+07,5.826350685420026630163193e+07,5.915744958415401633828878e+05,-4.915065221916412934660912e+06,3.941872077931519015692174e+05
-2.221824885331191122531891e+07,2.221824885331191867589951e+07,0.000000000000000000000000e+00,-3.630619593605049303732812e+05,-3.630619593605046975426376e+05,4.894530988997429609298706e+06,2.221824885331190750002861e+07,-2.221824885331191495060921e+07,0.000000000000000000000000e+00,2.347848397966873017139733e+05,2.347848397966870688833296e+05,-4.637976749869795516133308e+06
-1.039474579717636871337891e+10,-5.886165983276621818542480e+09,-5.886165983276633262634277e+09,-3.604525800088845193386078e+07,4.143630916924329847097397e+07,2.221824885331190750002861e+07,1.039474579717636871337891e+10,5.886165983276621818542480e+09,5.886165983276633262634277e+09,3.604525800088838487863541e+07,-6.746660686142253875732422e+07,3.812048838867416139692068e+06
-5.886165983276621818542480e+09,-1.039474579717636871337891e+10,-5.886165983276633262634277e+09,-4.143630916924330592155457e+07,3.604525800088844448328018e+07,-2.221824885331191495060921e+07,5.886165983276621818542480e+09,1.039474579717636871337891e+10,5.886165983276633262634277e+09,6.746660686142255365848541e+07,-3.604525800088837742805481e+07,-3.812048838867406826466322e+06
-5.886165983276633262634277e+09,-5.886165983276633262634277e+09,-1.039474579717635917663574e+10,-5.826350685420025140047073e+07,5.826350685420026630163193e+07,0.000000000000000000000000e+00,5.886165983276633262634277e+09,5.886165983276633262634277e+09,1.039474579717635917663574e+10,3.223320916202106699347496e+07,-3.223320916202108561992645e+07,0.000000000000000000000000e+00
-3.604525800088838487863541e+07,-6.746660686142255365848541e+07,-3.223320916202106699347496e+07,-4.915065221916413865983486e+06,5.915744958415401633828878e+05,2.347848397966873017139733e+05,3.604525800088838487863541e+07,6.746660686142255365848541e+07,3.223320916202106699347496e+07,5.118485338378559798002243e+06,-6.135833700743801891803741e+05,-4.161960820259928586892784e+05
6.746660686142253875732422e+07,3.604525800088837742805481e+07,3.223320916202108561992645e+07,5.915744958415398141369224e+05,-4.915065221916412934660912e+06,2.347848397966870688833296e+05,-6.746660686142253875732422e+07,-3.604525800088837742805481e+07,-3.223320916202108561992645e+07,-6.135833700743801891803741e+05,5.118485338378559798002243e+06,-4.161960820259930915199220e+05
-3.812048838867416139692068e+06,3.812048838867406826466322e+06,0.000000000000000000000000e+00,3.941872077931521343998611e+05,3.941872077931519015692174e+05,-4.637976749869795516133308e+06,3.812048838867416139692068e+06,-3.812048838867406826466322e+06,0.000000000000000000000000e+00,-4.161960820259928586892784e+05,-4.161960820259930915199220e+05,4.681994498335476964712143e+06
