# Frequency [Hz], Real(acoustic pressure), Imaginary(acoustic pressure)
0.000000000000000000e+00,2.699999999891748303e+05,0.000000000000000000e+00
2.000000000000000000e+00,1.546449179295450512e-06,-3.236006402100126340e-10
4.000000000000000000e+00,1.546450677172591276e-06,-6.483634933829307447e-10
6.000000000000000000e+00,1.546446629799902533e-06,-9.703139464060465979e-10
8.000000000000000000e+00,1.546451704537806491e-06,-1.296238042414188469e-09
1.000000000000000000e+01,1.546450689784251175e-06,-1.618060438583294578e-09
1.200000000000000000e+01,1.546452481610079749e-06,-1.944296915705005214e-09
1.400000000000000000e+01,1.546448751469142806e-06,-2.267650658419976840e-09
1.600000000000000000e+01,1.546448786636271322e-06,-2.590805737175590679e-09
1.800000000000000000e+01,1.546446686067308073e-06,-2.914780634455382811e-09
2.000000000000000000e+01,1.546450611203909021e-06,-3.237772277013088342e-09
2.200000000000000000e+01,1.546447260382895785e-06,-3.561796620488166928e-09
2.400000000000000000e+01,1.546447615449627281e-06,-3.884111841519673544e-09
2.600000000000000000e+01,1.546445415200044855e-06,-4.209733257691065263e-09
2.800000000000000000e+01,1.546442043036222592e-06,-4.533197109897931464e-09
3.000000000000000000e+01,4.501354461307434249e+05,-2.856646406368857715e+05
3.200000000000000000e+01,1.546442394001653380e-06,-5.182197599508141671e-09
3.400000000000000000e+01,1.546440755096422057e-06,-5.513857413208157620e-09
3.600000000000000000e+01,1.546438162525494872e-06,-5.831445256868998688e-09
3.800000000000000000e+01,1.546438780872213322e-06,-6.153870833656635179e-09
4.000000000000000000e+01,1.546438290878796378e-06,-6.474217006759752514e-09
4.200000000000000000e+01,1.546437044938405402e-06,-6.802131732304891229e-09
4.400000000000000000e+01,1.546430974606819748e-06,-7.124021998329512258e-09
4.600000000000000000e+01,1.546432529616270547e-06,-7.446297647229626438e-09
4.800000000000000000e+01,1.546430101734586101e-06,-7.771094775913904467e-09
5.000000000000000000e+01,1.546430406328819356e-06,-8.096763862519757062e-09
5.200000000000000000e+01,1.546426998562601852e-06,-8.422800412467565252e-09
5.400000000000000000e+01,1.546426319206754389e-06,-8.746547003587086954e-09
5.600000000000000000e+01,1.546424449251906955e-06,-9.068816744956350914e-09
5.800000000000000000e+01,1.546430361524253940e-06,-9.400635849604852344e-09
6.000000000000000000e+01,2.184121308664336684e+05,-4.641494044668111601e+05
6.200000000000000000e+01,1.546418445845309682e-06,-1.004045092491910451e-08
6.400000000000000000e+01,1.546416345508528117e-06,-1.036433700601518388e-08
6.600000000000000000e+01,1.546411340435346115e-06,-1.068928589423497542e-08
6.800000000000000000e+01,1.546413320648504056e-06,-1.101269338873306117e-08
7.000000000000000000e+01,1.546409476297208396e-06,-1.133599267681672053e-08
7.200000000000000000e+01,1.546407180527846080e-06,-1.166323199868202281e-08
7.400000000000000000e+01,1.546403736056003837e-06,-1.198246985181353170e-08
7.600000000000000000e+01,1.546402495093148612e-06,-1.230604945777231595e-08
7.800000000000000000e+01,1.546398674448331347e-06,-1.263188314624130803e-08
8.000000000000000000e+01,1.546396647737071067e-06,-1.295733554430852101e-08
8.200000000000000000e+01,1.546396444506352214e-06,-1.327549274957240106e-08
8.400000000000000000e+01,1.546391782661279017e-06,-1.360216992907226140e-08
8.600000000000000000e+01,1.546394190692277723e-06,-1.393078771111519577e-08
8.800000000000000000e+01,1.546385376698147028e-06,-1.425087419593008209e-08
9.000000000000000000e+01,-6.026610494165030104e+04,-4.770553426389613305e+05
9.200000000000000000e+01,1.546372561643245524e-06,-1.491101021259112516e-08
9.400000000000000000e+01,1.546376117353962367e-06,-1.522248280288451508e-08
9.600000000000000000e+01,1.546372860519024886e-06,-1.554602804391662812e-08
9.800000000000000000e+01,1.546371591080445786e-06,-1.587072390780690412e-08
1.000000000000000000e+02,1.546366785423247150e-06,-1.619446255476660545e-08
1.020000000000000000e+02,1.546373182376891172e-06,-1.651601165766626197e-08
1.040000000000000000e+02,1.546359278253916985e-06,-1.684076935901864449e-08
1.060000000000000000e+02,1.546358527837716367e-06,-1.716672913517568561e-08
1.080000000000000000e+02,1.546350814761992548e-06,-1.748996202645441811e-08
1.100000000000000000e+02,1.546348400843545229e-06,-1.781333185387486091e-08
1.120000000000000000e+02,1.546344932979598327e-06,-1.813729673923673912e-08
1.140000000000000000e+02,1.546346483750051990e-06,-1.846349179540150038e-08
1.160000000000000000e+02,1.546338594355729430e-06,-1.878792790010953632e-08
1.180000000000000000e+02,1.546333780377653296e-06,-1.910860200689410846e-08
1.200000000000000000e+02,-2.797142176447313977e+05,-3.381164065633190912e+05
1.220000000000000000e+02,1.546326120709350717e-06,-1.975451486145424348e-08
1.240000000000000000e+02,1.546320830356409956e-06,-2.008026196238859645e-08
1.260000000000000000e+02,1.546318387914209665e-06,-2.040454779251791762e-08
1.280000000000000000e+02,1.546312152998568576e-06,-2.072820847194238833e-08
1.300000000000000000e+02,1.546306442117024793e-06,-2.105590577264880966e-08
1.320000000000000000e+02,1.546312079818108259e-06,-2.137598738258584460e-08
1.340000000000000000e+02,1.546298771891463860e-06,-2.169979628302154751e-08
1.360000000000000000e+02,1.546295916824776235e-06,-2.202378395485341507e-08
1.380000000000000000e+02,1.546290764016326219e-06,-2.234748506841358121e-08
1.400000000000000000e+02,1.546286563081330817e-06,-2.267262328495932327e-08
1.420000000000000000e+02,1.546279589149668701e-06,-2.299324490308635625e-08
1.440000000000000000e+02,1.546280709967303715e-06,-2.332472757060407355e-08
1.460000000000000000e+02,1.546273668382446923e-06,-2.364456828156438812e-08
1.480000000000000000e+02,1.546261851337099335e-06,-2.397247276603954709e-08
1.500000000000000000e+02,-3.704296784728485509e+05,-1.203598985976772819e+05
1.520000000000000000e+02,1.546255137256450361e-06,-2.461445082168830775e-08
1.540000000000000000e+02,1.546242480180521624e-06,-2.493460488512088629e-08
1.560000000000000000e+02,1.546247763936790756e-06,-2.526086892919106146e-08
1.580000000000000000e+02,1.546239366385582722e-06,-2.558597555127307357e-08
1.600000000000000000e+02,1.546234010151754671e-06,-2.590982415124156941e-08
1.620000000000000000e+02,1.546232826736746058e-06,-2.624062653167986759e-08
1.640000000000000000e+02,1.546225554598358965e-06,-2.655708147702281386e-08
1.660000000000000000e+02,1.546217373303870037e-06,-2.688136166670732910e-08
1.680000000000000000e+02,1.546209260639336911e-06,-2.720214257985263987e-08
1.700000000000000000e+02,1.546206958910597002e-06,-2.752820915805830724e-08
1.720000000000000000e+02,1.546200064102358567e-06,-2.785415642947649447e-08
1.740000000000000000e+02,1.546194625974073065e-06,-2.818278975392045886e-08
1.760000000000000000e+02,1.546186031317148358e-06,-2.850486109736427819e-08
1.780000000000000000e+02,1.546184196094060646e-06,-2.882513827352974174e-08
1.800000000000000000e+02,-3.252245317143516731e+05,8.350346706012547656e+04
1.820000000000000000e+02,1.546161513793149746e-06,-2.946637465140711538e-08
1.840000000000000000e+02,1.546163971831026117e-06,-2.979585361966270577e-08
